Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP/Capita,Energy Usage/Capita,CO2 Emissions/Capita,Life Expectancy Combined,Tourism Status,lables_1
Australia,0.022846153846153846,42.138461538461534,45621.600000000006,29.923076923076923,20210.446153846155,109685514866.57692,0.06512307692307692,527.1384615384616,271.7692307692308,0.022850000000000002,0.19076923076923077,0.12023076923076921,73.07692307692308,67.53846153846153,0.6153846153846154,0.3188803855401265,0.6250804655639357,0.05603914889593775,14430093.076923076,0.5944615384615385,1632376923.0769231,1065330769.2307693,6758.164441483422,0.0021268180305455534,0.0022027632497622998,70.3076923076923,Inbound,0
Austria,0.012307692307692308,39.146153846153844,99289.76923076923,18.076923076923077,49833.692307692305,437454283637.6923,0.08907692307692307,2154.230769230769,242.3846153846154,0.006461538461538462,0.5076923076923077,0.0771,80.0,74.61538461538461,0.9615384615384616,0.1843076923076923,0.6667692307692309,0.14876923076923076,14409173.461538462,0.7315384615384615,11033615384.615385,10661153846.153847,22975.85683243251,0.0035673920258800255,0.006385780266578368,77.3076923076923,Inbound,0
Azerbaijan,0.016538461538461537,42.37769230769231,121854.53846153847,50.62307692307692,51783.28461538461,114958910575.8077,0.05986923076923077,866.8923076923077,285.3230769230769,0.029054615384615384,0.28923076923076924,0.12137692307692308,75.23076923076923,70.23076923076923,0.5461538461538461,0.2686496163093573,0.650311234794705,0.0811929950497839,92514430.15384616,0.5751538461538461,3802084615.3846154,3450792307.6923075,15031.02137286729,0.02782508323610354,0.004592078141035261,72.73076923076923,Inbound,0
"Bahamas, The",0.022250000000000002,57.24583333333334,50191.63333333333,117.02499999999999,28108.49166666667,93650440439.08333,0.05720833333333333,260.72499999999997,518.125,0.029933333333333326,0.15,0.1996083333333333,71.66666666666667,66.5,0.5166666666666667,0.32615750200360744,0.6171743420551942,0.05675148927453178,24810442.25,0.651,814266666.6666666,882475000.0,8052.983126606443,0.022688465961025753,0.0027370612532831534,69.08333333333333,Outbound,1
Bahrain,0.02076923076923077,43.48538461538461,113987.93076923078,44.45384615384615,47371.11538461538,163431165996.16922,0.06917692307692305,740.5923076923077,202.03846153846155,0.016950769230769217,0.2915384615384615,0.13059230769230767,76.07692307692308,71.46923076923078,0.5230769230769231,0.29980346246320344,0.6397727732562435,0.060423764280553134,13755812.307692308,0.6964615384615385,2521861538.4615383,3685440769.230769,11312.321141056937,0.008424879062562491,0.007692729089323771,73.77307692307691,Outbound,0
Bangladesh,0.016076923076923075,44.385384615384616,367655.6923076923,49.16153846153846,138162.43846153846,232937932520.3846,0.05430769230769231,883.7692307692307,360.8230769230769,0.021153846153846155,0.34615384615384615,0.10463846153846153,75.62307692307692,70.3,0.5846153846153845,0.257341924001665,0.6555420040254742,0.08711607197286082,136324669.46153846,0.5283076923076924,4943223076.923077,3817876923.076923,12065.617664228308,0.017003233514675413,0.00572124235157336,72.96153846153847,Inbound,2
Barbados,0.02125,43.4,51545.56666666667,40.5,25807.649999999998,70710249886.29167,0.06021666666666667,680.4833333333333,257.75,0.024903333333333333,0.225,0.14282499999999998,71.91666666666667,67.08333333333333,0.5916666666666667,0.3108704176684704,0.6241705043609304,0.06495907797059923,5241764.75,0.52825,1744433333.3333333,1439433333.3333333,9860.26462801846,0.004429571436767726,0.006164304581259165,69.5,Inbound,0
Belarus,0.01223076923076923,43.49923076923077,104127.6,33.292307692307695,44514.692307692305,334351389471.61536,0.07806923076923077,1915.7307692307693,218.6076923076923,0.007791538461538462,0.49230769230769234,0.1306846153846154,79.38461538461539,73.15384615384616,0.8846153846153846,0.19611115477089575,0.684311234794705,0.11950068735747621,12354652.76923077,0.6732307692307693,6999646153.846154,9235153846.153847,29188.306687661334,0.024460907557354097,0.008573917384049048,76.26923076923077,Outbound,0
Belgium,0.01323076923076923,46.09461538461539,265396.8461538461,27.4,104594.66153846154,442140897337.38464,0.0724153846153846,1610.5307692307692,232.1307692307692,0.009055384615384614,0.4,0.09238461538461538,78.76923076923077,72.61538461538461,0.9076923076923078,0.19957269323243418,0.6820804655639358,0.11834684120363005,29722263.692307692,0.6916153846153846,8668723076.923077,8097384615.384615,23739.09975256009,0.007968900644612332,0.009736672811041633,75.6923076923077,Inbound,0
Belize,0.023833333333333335,47.979166666666664,488555.5833333333,38.90833333333333,201378.4833333333,1251935422995.55,0.0622,1293.125,351.125,0.027136083333333335,0.18333333333333335,0.13693333333333332,73.13333333333334,68.625,0.4916666666666667,0.3324075020036074,0.6094243420551941,0.05816815594119845,34616140.5,0.5932499999999999,14749750000.0,10220733333.333334,14906.700034739499,0.03229936995194942,0.004400174108218747,70.87916666666666,Inbound,2
Benin,0.036307692307692305,70.04076923076923,17024.153846153848,80.82307692307693,11365.369230769229,17101540468.461538,0.054961538461538464,106.5076923076923,433.4307692307693,0.06492307692307692,0.04615384615384616,0.19314615384615383,59.76923076923077,56.76923076923077,0.3,0.4148461538461538,0.5493846153846154,0.03553846153846154,15654816.76923077,0.4563846153846154,706177692.3076923,334646153.84615386,2307.0260023252217,0.0011128491132869542,0.0013336339930306617,58.26923076923077,Inbound,1
Bermuda,0.02575,60.4,48433.9,47.75,21380.483333333334,97506802098.875,0.06005,428.73333333333335,341.6666666666667,0.036156666666666656,0.15666666666666668,0.15290833333333334,70.25,64.83333333333333,0.5,0.34349999999999997,0.59675,0.05975,16923092.916666668,0.58375,1570475000.0,1030083333.3333334,5426.420325309436,0.0021342453104545222,0.0019403252380493696,67.54166666666667,Inbound,1
